תאריך פרסום,שם התכשיר,שם תכשיר באנגלית,שם החברה,סיבת העצירה,תאריך העצירה,צפי לחידוש שיווק,קבלת הודעה
,פניברין 1 ג',PENIBRIN 1 G,איי.אל.מדי-מרקט,סיבות תפעוליות,30.9.2024,15.10.2024,
,אטוסיבן פארמאידיאה,ATOSIBAN PHARMIDEA,Sandoz Pharmaceuticals Israel Ltd,סיבות מסחריות,20.8.2024,עד להודעה חדשה,
,"טמו 100 מ""ג",TEMO 100 MG,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,20.6.2024,26.09.2024,
,"מתוטרקסאט ""אבווה"" 2.5 מ""ג טבליות","METHOTREXAT ""EBEWE"" 2.5 MG TABLETS","נובו נורדיסק בע""מ",סיבות תפעוליות,16.7.2024,31.08.2024,
,"מתוטרקסאט ""אבווה"" 2.5 מ""ג טבליות","METHOTREXAT ""EBEWE"" 2.5 MG TABLETS","נובו נורדיסק בע""מ",סיבות תפעוליות,16.7.2024,31.08.2024,
,"בינוקריט 20000 יחב""ל / 0.5 מ""ל",BINOCRIT 20000 I.U / 0.5 ML,"נובו נורדיסק בע""מ",סיבות תפעוליות,19.8.2024,31.8.2024,
,"טמו 100 מ""ג",TEMO 100 MG,Sandoz Pharmaceuticals Israel Ltd,סיבות תפעוליות,20.6.2024,26.09.2024,
,"בינוקריט 20000 יחב""ל / 0.5 מ""ל",BINOCRIT 20000 I.U / 0.5 ML,"ניאופרם סיינטיפיק בע""מ",סיבות תפעוליות,19.8.2024,31.8.2024,
,"רבלימיד 20 מ""ג",REVLIMID 20 MG,PADAGIS ISRAEL AGENCIES LTD,סיבות מסחריות,18.8.2024,לצמיתות,
,"רבלימיד 2.5 מ""ג",REVLIMID 2.5 MG,"ניאופרם סיינטיפיק בע""מ",סיבות מסחריות,18.8.2024,לצמיתות,
,קרטיה,Cartia,"ניאופרם סיינטיפיק בע""מ",סיבות תפעוליות,5.8.2024,26.8.2024,
,"רבלימיד 7.5 מ""ג",REVLIMID 7.5 MG,"ניאופרם סיינטיפיק בע""מ",סיבות מסחריות,18.8.2024,לצמיתות,
,"רבלימיד 2.5 מ""ג",REVLIMID 2.5 MG,"ניאופרם סיינטיפיק בע""מ",סיבות מסחריות,18.8.2024,לצמיתות,
,פרוטיאזין אקספקטורנט סירופ,Prothiazine Expectorant Syrup,"ניאופרם סיינטיפיק בע""מ",סיבות תפעוליות,26.10.2022,31.8.2025,
,"קלינור -ריטרד 600 מ""ג",KALINOR RETARD 600 MG,"ניאופרם סיינטיפיק בע""מ",סיבות מסחריות,18.8.2024,עד להודעה החדשה,
,"רבלימיד 15 מ""ג",REVLIMID 15 MG,"כצט תעשיות כימיות בע""מ",סיבות מסחריות,18.1.2024,לצמיתות,
,"רבלימיד 7.5 מ""ג",REVLIMID 7.5 MG,"כצט תעשיות כימיות בע""מ",סיבות מסחריות,18.8.2024,לצמיתות,
,"רבלימיד 25 מ""ג",REVLIMID ® 25 MG,"ניאופרם סיינטיפיק בע""מ",סיבות מסחריות,18.8.2024,לצמיתות,
,"רבלימיד 7.5 מ""ג",REVLIMID 7.5 MG,"טבע ישראל בע""מ",סיבות מסחריות,18.8.2024,לצמיתות,
,דילאטם 120 SR,DILATAM 120 SR,"בקסטר אספקת שירותי בריאות בע""מ",סיבות תפעוליות,01/06/2024,30/09/2024,
,טיסיל פרוזן,TISSEEL FROZEN,"מרק סרונו בע""מ",סיבות תפעוליות,15/08/2024,10/01/2024,
,אוביטרל 250 מיקרוגרם,Ovitrelle 250 mcg,"ניאופרם בע""מ",סיבות תפעוליות,15/08/2024,31/12/2024,
,אוביטרל 250 מיקרוגרם,Ovitrelle 250 mcg,איי.אל.מדי-מרקט,סיבות תפעוליות,15/08/2024,31/12/2024,
,"צפזולין מדו 1 גר', אבקה להכנת תמיסה להזרקה או עירוי","Cefazolin Medo 1 Gr., Powder for solution for inj/inf",PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,13/08/2024,15/09/2024,
,טרוקסימה,TRUXIMA,"טבע ישראל בע""מ",סיבות תפעוליות,18/08/2024,15/09/2024,
,"קווטיאפין טבע 25 מ""ג",QUETIAPINE TEVA 25 MG,פייזר PFE,סיבות תפעוליות,01/08/2024,15/09/2024,
,אפקסור XR 75,Efexor XR 75,"טבע ישראל בע""מ",סיבות תפעוליות,01/09/2024,01/03/2025,
